"1";"1-G-1";"MW6-3PK";"6";"77";"1";"463";"2021-04-30 14:11:35"
"2";"1-1-1";"AC21";"10";"15";"0";"150";"2021-04-30 13:50:39"
"3";"1-1-2";"AC21";"10";"15";"0";"150";"2021-04-30 13:50:39"
"4";"1-2-1";"AC10U";"10";"15";"0";"150";"2021-04-30 13:50:39"
"5";"1-2-2";"AC10U";"10";"15";"0";"150";"2021-04-30 13:50:39"
"6";"1-3-1";"MW5s-3PK";"6";"27";"0";"162";"2021-04-30 13:50:39"
"7";"1-3-2";"MW5s-3PK";"6";"18";"0";"108";"2021-04-30 13:50:39"
"8";"2-G-1";"MW12-3PK";"6";"27";"2";"164";"2021-04-30 15:42:19"
"9";"2-G-1";"MW3-2PK";"12";"20";"3";"243";"2021-04-30 14:11:35"
"10";"2-G-1";"MW5c-3PK";"6";"59";"5";"359";"2021-04-30 15:37:59"
"11";"2-1-1";"MW12-3PK";"6";"25";"0";"150";"2021-04-30 13:50:39"
"12";"2-1-2";"MW12-3PK";"6";"25";"0";"150";"2021-04-30 13:50:39"
"13";"2-2-1";"AC10";"10";"15";"0";"150";"2021-04-30 13:50:39"
"14";"2-2-2";"AC19";"10";"18";"0";"180";"2021-04-30 13:50:39"
"15";"2-3-1";"AC19";"10";"12";"0";"120";"2021-04-30 13:50:39"
"16";"3-G-1";"MW3-3PK";"6";"14";"1";"85";"2021-04-30 15:28:27"
"17";"3-G-1";"MW5s-3PK";"6";"40";"2";"242";"2021-04-30 14:10:33"
"18";"3-G-1";"MW5s-2PK";"12";"25";"11";"311";"2021-04-30 13:59:18"
"19";"3-G-1";"MW5c-2PK";"12";"23";"8";"284";"2021-04-30 14:10:07"
"20";"3-G-1";"TEG1124P-24-250W";"3";"10";"0";"30";"2021-04-30 14:11:17"
"21";"3-1-1";"TEG1016G";"5";"20";"0";"100";"2021-04-30 13:50:39"
"22";"3-1-2";"MW3-3PK";"6";"36";"0";"216";"2021-04-30 13:50:39"
"23";"3-2-1";"TEG1016D";"5";"24";"0";"120";"2021-04-30 13:50:39"
"24";"3-2-2";"TEG1016D";"5";"24";"0";"120";"2021-04-30 13:50:39"
"25";"3-3-1";"TEG1016G";"5";"3";"0";"15";"2021-04-30 13:50:39"
"26";"3-3-1";"TEG1024G";"5";"12";"0";"60";"2021-04-30 13:50:39"
"27";"3-3-2";"TEG1024D";"5";"24";"0";"120";"2021-04-30 13:50:39"
"28";"4-G-1";"SP3";"60";"15";"11";"911";"2021-04-30 13:50:39"
"29";"4-G-1";"TEG1124P-24-250W";"3";"12";"0";"36";"2021-04-30 13:50:39"
"30";"4-G-1";"TEG1116P-16-150W";"5";"7";"1";"36";"2021-04-30 13:50:39"
"31";"4-G-1";"TEG1024F";"5";"17";"0";"85";"2021-04-30 13:50:39"
"32";"4-G-1";"TEG1109P-8-102W";"10";"7";"1";"71";"2021-04-30 15:41:02"
"33";"4-G-1";"A18";"40";"23";"33";"953";"2021-04-30 13:50:39"
"34";"4-1-1";"PoE30G-AT";"30";"16";"0";"480";"2021-04-30 13:50:39"
"35";"4-1-2";"TEG1024D";"5";"24";"0";"120";"2021-04-30 13:50:39"
"36";"4-2-1";"TEG1024D";"5";"24";"0";"120";"2021-04-30 13:50:39"
"37";"4-2-2";"TEG1024D";"5";"24";"0";"120";"2021-04-30 13:50:39"
"38";"4-3-1";"TEG1116P-16-150W";"5";"20";"0";"100";"2021-04-30 13:50:39"
"39";"4-3-2";"MW3-3PK";"6";"36";"0";"216";"2021-04-30 13:50:39"
"40";"5-G-1";"MW6-3PK";"6";"84";"0";"504";"2021-04-30 13:50:39"
"41";"5-1-1";"MW3-3PK";"6";"36";"0";"216";"2021-04-30 13:50:39"
"42";"5-1-2";"SP3-2PK";"20";"7";"0";"140";"2021-04-30 13:50:39"
"43";"5-1-2";"PoE15F";"60";"5";"0";"300";"2021-04-30 13:50:39"
"44";"5-2-1";"TEF1109P-8-102W";"10";"8";"0";"80";"2021-04-30 13:50:39"
"45";"5-2-1";"TEG1109P-8-102W";"10";"8";"0";"80";"2021-04-30 13:50:39"
"46";"5-2-1";"TEG1124P-24-250W";"3";"10";"0";"30";"2021-04-30 13:50:39"
"47";"5-2-2";"TEG1024G";"5";"18";"0";"90";"2021-04-30 13:50:39"
"48";"5-3-1";"TEG1124P-24-250W";"3";"24";"0";"72";"2021-04-30 13:50:39"
"49";"5-3-2";"G1124P-24-250W";"3";"30";"0";"90";"2021-04-30 13:50:39"
"50";"6-G-1";"4G03";"10";"0";"0";"0";"2021-04-30 14:10:07"
"51";"6-G-1";"4G09";"10";"19";"9";"199";"2021-04-30 15:27:23"
"52";"6-G-1";"SG105";"100";"2";"45";"245";"2021-04-30 15:33:40"
"53";"6-G-1";"TEG1008M";"30";"14";"13";"433";"2021-04-30 13:50:39"
"54";"6-G-1";"TEG1008D";"0";"0";"3";"3";"2021-04-30 13:50:39"
"55";"6-G-1";"RX3";"10";"20";"0";"200";"2021-04-30 13:50:39"
"56";"6-G-1";"W18E";"5";"30";"3";"153";"2021-04-30 13:50:39"
"57";"6-1-1";"G1016D";"5";"24";"0";"120";"2021-04-30 13:50:39"
"58";"6-1-2";"G1016D";"5";"8";"0";"40";"2021-04-30 13:50:39"
"59";"6-1-2";"G1024D";"5";"16";"0";"80";"2021-04-30 13:50:39"
"60";"6-2-1";"MW3-3PK";"6";"27";"0";"162";"2021-04-30 13:50:39"
"61";"6-2-2";"MW3-3PK";"6";"27";"0";"162";"2021-04-30 13:50:39"
"62";"6-3-1";"G1124P-24-250W";"3";"10";"0";"90";"2021-04-30 13:50:39"
"63";"6-3-2";"MW5s-2PK";"12";"18";"0";"216";"2021-04-30 13:50:39"
"64";"7-G-1";"F1109P-8-102W";"10";"11";"7";"117";"2021-04-30 13:50:39"
"65";"7-G-1";"F1110P-8-102W";"10";"1";"8";"18";"2021-04-30 13:50:39"
"66";"7-G-1";"G1109P-8-102W";"10";"17";"3";"173";"2021-04-30 14:10:33"
"67";"7-G-1";"G1008";"10";"1";"3";"13";"2021-04-30 14:11:24"
"68";"7-G-1";"G1024D";"5";"4";"2";"22";"2021-04-30 13:50:39"
"69";"7-G-1";"G1024F";"5";"3";"2";"17";"2021-04-30 13:50:39"
"70";"7-G-1";"G1005";"0";"0";"51";"51";"2021-04-30 13:50:39"
"71";"7-G-1";"AP255_US";"0";"0";"48";"48";"2021-04-30 13:50:39"
"72";"7-G-1";"F1218P-16-250W";"5";"3";"4";"19";"2021-04-30 14:11:07"
